amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
51966.53,received,18/00315/IDP,18/00315/IDP1,,2020-05-07,local-authority-eng:EPS,2019-10-29,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-IDP1
51966.53,received,18/00315/IDP,18/00315/IDP2,,2020-05-07,local-authority-eng:EPS,2020-01-24,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-IDP2
,secured,18/00315/IDP,18/00315/IDP3,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-IDP3
9743.72,received,18/00315/NEIGHBOURHOOD,18/00315/NEIGHBOURHOOD1,,2020-05-07,local-authority-eng:EPS,2019-10-29,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-NEIGHBOURHOOD1
9743.72,received,18/00315/NEIGHBOURHOOD,18/00315/NEIGHBOURHOOD2,,2020-05-07,local-authority-eng:EPS,2020-01-24,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-NEIGHBOURHOOD2
,secured,18/00315/NEIGHBOURHOOD,18/00315/NEIGHBOURHOOD3,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00315-NEIGHBOURHOOD3
1425.47,received,18/00481/CILADMIN,18/00481/CILADMIN1,,2020-03-16,local-authority-eng:EPS,2019-11-08,,/developer-agreement-transaction/local-authority-eng/EPS/18-00481-CILADMIN1
22807.56,received,18/00481/IDP,18/00481/IDP1,,2020-03-16,local-authority-eng:EPS,2019-11-08,,/developer-agreement-transaction/local-authority-eng/EPS/18-00481-IDP1
4276.42,received,18/00481/NEIGHBOURHOOD,18/00481/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,2019-11-08,,/developer-agreement-transaction/local-authority-eng/EPS/18-00481-NEIGHBOURHOOD1
834.57,received,18/00486/CILADMIN,18/00486/CILADMIN1,,2019-11-25,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN1
,secured,18/00486/CILADMIN,18/00486/CILADMIN2,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN2
,secured,18/00486/CILADMIN,18/00486/CILADMIN3,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN3
13353.15,received,18/00486/IDP,18/00486/IDP1,,2019-11-25,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP1
,secured,18/00486/IDP,18/00486/IDP2,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP2
,secured,18/00486/IDP,18/00486/IDP3,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP3
2503.71,received,18/00486/NEIGHBOURHOOD,18/00486/NEIGHBOURHOOD1,,2019-11-25,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD1
,secured,18/00486/NEIGHBOURHOOD,18/00486/NEIGHBOURHOOD2,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD2
,secured,18/00486/NEIGHBOURHOOD,18/00486/NEIGHBOURHOOD3,,2019-11-25,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD3
1254.35,received,18/00721/CILADMIN,18/00721/CILADMIN1,,2020-01-22,local-authority-eng:EPS,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-CILADMIN1
1254.36,received,18/00721/CILADMIN,18/00721/CILADMIN2,,2020-01-22,local-authority-eng:EPS,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-CILADMIN2
20069.66,received,18/00721/IDP,18/00721/IDP1,,2020-01-22,local-authority-eng:EPS,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-IDP1
20069.65,received,18/00721/IDP,18/00721/IDP2,,2020-01-22,local-authority-eng:EPS,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-IDP2
3763.06,received,18/00721/NEIGHBOURHOOD,18/00721/NEIGHBOURHOOD1,,2020-01-22,local-authority-eng:EPS,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-NEIGHBOURHOOD1
3763.06,received,18/00721/NEIGHBOURHOOD,18/00721/NEIGHBOURHOOD2,,2020-01-22,local-authority-eng:EPS,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-NEIGHBOURHOOD2
2455,received,18/00743/CILADMIN,18/00743/CILADMIN1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN1
2455,received,18/00743/CILADMIN,18/00743/CILADMIN2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN2
,secured,18/00743/CILADMIN,18/00743/CILADMIN3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN3
39280.14,received,18/00743/IDP,18/00743/IDP1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP1
39280,received,18/00743/IDP,18/00743/IDP2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP2
,secured,18/00743/IDP,18/00743/IDP3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP3
7365.03,received,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD1
7365,received,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD2
,secured,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD3
,,18/01018/S106,18/01018/S1061,,2019-10-30,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01018-S1061
446.31,received,18/01065/CILADMIN,18/01065/CILADMIN1,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01065-CILADMIN1
7141.01,received,18/01065/IDP,18/01065/IDP1,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01065-IDP1
1338.94,received,18/01065/NEIGHBOURHOOD,18/01065/NEIGHBOURHOOD1,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01065-NEIGHBOURHOOD1
1071.81,received,18/01148/CILADMIN,18/01148/CILADMIN2,,2020-05-07,local-authority-eng:EPS,2019-09-03,,/developer-agreement-transaction/local-authority-eng/EPS/18-01148-CILADMIN2
17148.95,received,18/01148/IDP,18/01148/IDP2,,2020-05-07,local-authority-eng:EPS,2019-09-03,,/developer-agreement-transaction/local-authority-eng/EPS/18-01148-IDP2
3215.43,received,18/01148/NEIGHBOURHOOD,18/01148/NEIGHBOURHOOD2,,2020-05-07,local-authority-eng:EPS,2019-09-03,,/developer-agreement-transaction/local-authority-eng/EPS/18-01148-NEIGHBOURHOOD2
,secured,18/01264/CILADMIN,18/01264/CILADMIN1,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN1
,secured,18/01264/CILADMIN,18/01264/CILADMIN2,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN2
,secured,18/01264/CILADMIN,18/01264/CILADMIN3,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN3
,secured,18/01264/IDP,18/01264/IDP1,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP1
,secured,18/01264/IDP,18/01264/IDP2,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP2
,secured,18/01264/IDP,18/01264/IDP3,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP3
,secured,18/01264/NEIGHBOURHOOD,18/01264/NEIGHBOURHOOD1,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD1
,secured,18/01264/NEIGHBOURHOOD,18/01264/NEIGHBOURHOOD2,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD2
,secured,18/01264/NEIGHBOURHOOD,18/01264/NEIGHBOURHOOD3,,2020-03-12,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD3
,secured,18/01298/CILADMIN,18/01298/CILADMIN1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-CILADMIN1
,secured,18/01298/CILADMIN,18/01298/CILADMIN2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-CILADMIN2
,secured,18/01298/IDP,18/01298/IDP1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-IDP1
,secured,18/01298/IDP,18/01298/IDP2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-IDP2
,secured,18/01298/NEIGHBOURHOOD,18/01298/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD1
,secured,18/01298/NEIGHBOURHOOD,18/01298/NEIGHBOURHOOD2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD2
,secured,18/01360/CILADMIN,18/01360/CILADMIN1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN1
,secured,18/01360/CILADMIN,18/01360/CILADMIN2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN2
,secured,18/01360/CILADMIN,18/01360/CILADMIN3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN3
,secured,18/01360/IDP,18/01360/IDP1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP1
,secured,18/01360/IDP,18/01360/IDP2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP2
,secured,18/01360/IDP,18/01360/IDP3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP3
,secured,18/01360/NEIGHBOURHOOD,18/01360/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD1
,secured,18/01360/NEIGHBOURHOOD,18/01360/NEIGHBOURHOOD2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD2
,secured,18/01360/NEIGHBOURHOOD,18/01360/NEIGHBOURHOOD3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD3
1228.97,received,18/01383/CILADMIN,18/01383/CILADMIN1,,2019-09-18,local-authority-eng:EPS,2019-09-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-01383-CILADMIN1
19663.43,received,18/01383/IDP,18/01383/IDP1,,2019-09-18,local-authority-eng:EPS,2019-09-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-01383-IDP1
3686.89,received,18/01383/NEIGHBOURHOOD,18/01383/NEIGHBOURHOOD1,,2019-09-18,local-authority-eng:EPS,2019-09-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-01383-NEIGHBOURHOOD1
15160.49,received,18/01430/CILADMIN,18/01430/CILADMIN1,,2020-05-07,local-authority-eng:EPS,2019-10-21,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-CILADMIN1
15160.49,received,18/01430/CILADMIN,18/01430/CILADMIN2,,2020-05-07,local-authority-eng:EPS,2020-01-17,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-CILADMIN2
,secured,18/01430/CILADMIN,18/01430/CILADMIN3,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-CILADMIN3
242567.61,received,18/01430/IDP,18/01430/IDP1,,2020-05-07,local-authority-eng:EPS,2019-10-21,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-IDP1
242567.61,received,18/01430/IDP,18/01430/IDP2,,2020-05-07,local-authority-eng:EPS,2020-01-17,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-IDP2
,secured,18/01430/IDP,18/01430/IDP3,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-IDP3
45481.44,received,18/01430/NEIGHBOURHOOD,18/01430/NEIGHBOURHOOD1,,2020-05-07,local-authority-eng:EPS,2019-10-21,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-NEIGHBOURHOOD1
45481.44,received,18/01430/NEIGHBOURHOOD,18/01430/NEIGHBOURHOOD2,,2020-05-07,local-authority-eng:EPS,2020-01-17,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-NEIGHBOURHOOD2
,secured,18/01430/NEIGHBOURHOOD,18/01430/NEIGHBOURHOOD3,,2020-05-07,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01430-NEIGHBOURHOOD3
313.49,received,18/01494/CILADMIN,18/01494/CILADMIN1,,2020-04-30,local-authority-eng:EPS,2019-10-10,,/developer-agreement-transaction/local-authority-eng/EPS/18-01494-CILADMIN1
5015.9,received,18/01494/IDP,18/01494/IDP1,,2020-04-30,local-authority-eng:EPS,2019-10-10,,/developer-agreement-transaction/local-authority-eng/EPS/18-01494-IDP1
940.48,received,18/01494/NEIGHBOURHOOD,18/01494/NEIGHBOURHOOD1,,2020-04-30,local-authority-eng:EPS,2019-10-10,,/developer-agreement-transaction/local-authority-eng/EPS/18-01494-NEIGHBOURHOOD1
,secured,18/01559/CILADMIN,18/01559/CILADMIN1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN1
,secured,18/01559/CILADMIN,18/01559/CILADMIN2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN2
,secured,18/01559/CILADMIN,18/01559/CILADMIN3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN3
,secured,18/01559/IDP,18/01559/IDP1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP1
,secured,18/01559/IDP,18/01559/IDP2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP2
,secured,18/01559/IDP,18/01559/IDP3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP3
,secured,18/01559/NEIGHBOURHOOD,18/01559/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD1
,secured,18/01559/NEIGHBOURHOOD,18/01559/NEIGHBOURHOOD2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD2
,secured,18/01559/NEIGHBOURHOOD,18/01559/NEIGHBOURHOOD3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD3
0,received,19/00062/CILADMIN,19/00062/CILADMIN1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-CILADMIN1
0,received,19/00062/IDP,19/00062/IDP1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-IDP1
0,received,19/00062/NEIGHBOURHOOD,19/00062/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-NEIGHBOURHOOD1
0,received,19/00303/CILADMIN,19/00303/CILADMIN1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-transaction/local-authority-eng/EPS/19-00303-CILADMIN1
0,received,19/00303/IDP,19/00303/IDP1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-transaction/local-authority-eng/EPS/19-00303-IDP1
0,received,19/00303/NEIGHBOURHOOD,19/00303/NEIGHBOURHOOD1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-transaction/local-authority-eng/EPS/19-00303-NEIGHBOURHOOD1
1020.59,received,19/00519/CILADMIN,19/00519/CILADMIN1,,2020-01-22,local-authority-eng:EPS,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-CILADMIN1
1020.59,received,19/00519/CILADMIN,19/00519/CILADMIN2,,2020-01-22,local-authority-eng:EPS,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-CILADMIN2
16329.48,received,19/00519/IDP,19/00519/IDP1,,2020-01-22,local-authority-eng:EPS,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-IDP1
16329.48,received,19/00519/IDP,19/00519/IDP2,,2020-01-22,local-authority-eng:EPS,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-IDP2
3061.77,received,19/00519/NEIGHBOURHOOD,19/00519/NEIGHBOURHOOD1,,2020-01-22,local-authority-eng:EPS,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-NEIGHBOURHOOD1
3061.78,received,19/00519/NEIGHBOURHOOD,19/00519/NEIGHBOURHOOD2,,2020-01-22,local-authority-eng:EPS,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-NEIGHBOURHOOD2
373.22,received,19/00538/CILADMIN,19/00538/CILADMIN1,,2019-10-30,local-authority-eng:EPS,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-CILADMIN1
,secured,19/00538/CILADMIN,19/00538/CILADMIN2,,2019-10-30,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-CILADMIN2
5971.51,received,19/00538/IDP,19/00538/IDP1,,2019-10-30,local-authority-eng:EPS,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-IDP1
,secured,19/00538/IDP,19/00538/IDP2,,2019-10-30,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-IDP2
1119.66,received,19/00538/NEIGHBOURHOOD,19/00538/NEIGHBOURHOOD1,,2019-10-30,local-authority-eng:EPS,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD1
,secured,19/00538/NEIGHBOURHOOD,19/00538/NEIGHBOURHOOD2,,2019-10-30,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD2
,secured,19/00577/CILADMIN,19/00577/CILADMIN1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-CILADMIN1
,secured,19/00577/CILADMIN,19/00577/CILADMIN2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-CILADMIN2
,secured,19/00577/IDP,19/00577/IDP1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-IDP1
,secured,19/00577/IDP,19/00577/IDP2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-IDP2
,secured,19/00577/NEIGHBOURHOOD,19/00577/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD1
,secured,19/00577/NEIGHBOURHOOD,19/00577/NEIGHBOURHOOD2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD2
686.93,received,19/00622/CILADMIN,19/00622/CILADMIN1,,2019-10-23,local-authority-eng:EPS,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-CILADMIN1
,secured,19/00622/CILADMIN,19/00622/CILADMIN2,,2019-10-23,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-CILADMIN2
10990.8,received,19/00622/IDP,19/00622/IDP1,,2019-10-23,local-authority-eng:EPS,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-IDP1
,secured,19/00622/IDP,19/00622/IDP2,,2019-10-23,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-IDP2
2060.77,received,19/00622/NEIGHBOURHOOD,19/00622/NEIGHBOURHOOD1,,2019-10-23,local-authority-eng:EPS,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD1
,secured,19/00622/NEIGHBOURHOOD,19/00622/NEIGHBOURHOOD2,,2019-10-23,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD2
954.89,received,19/00681/CILADMIN,19/00681/CILADMIN1,,2019-10-14,local-authority-eng:EPS,2019-12-24,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-CILADMIN1
,secured,19/00681/CILADMIN,19/00681/CILADMIN2,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-CILADMIN2
,secured,19/00681/CILADMIN,19/00681/CILADMIN3,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-CILADMIN3
15278.25,received,19/00681/IDP,19/00681/IDP1,,2019-10-14,local-authority-eng:EPS,2019-12-24,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-IDP1
,secured,19/00681/IDP,19/00681/IDP2,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-IDP2
,secured,19/00681/IDP,19/00681/IDP3,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-IDP3
2864.67,received,19/00681/NEIGHBOURHOOD,19/00681/NEIGHBOURHOOD1,,2019-10-14,local-authority-eng:EPS,2019-12-24,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD1
,secured,19/00681/NEIGHBOURHOOD,19/00681/NEIGHBOURHOOD2,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD2
,secured,19/00681/NEIGHBOURHOOD,19/00681/NEIGHBOURHOOD3,,2019-10-14,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD3
,secured,19/00696/CILADMIN,19/00696/CILADMIN1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN1
,secured,19/00696/CILADMIN,19/00696/CILADMIN2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN2
,secured,19/00696/CILADMIN,19/00696/CILADMIN3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN3
,secured,19/00696/IDP,19/00696/IDP1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP1
,secured,19/00696/IDP,19/00696/IDP2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP2
,secured,19/00696/IDP,19/00696/IDP3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP3
,secured,19/00696/NEIGHBOURHOOD,19/00696/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD1
,secured,19/00696/NEIGHBOURHOOD,19/00696/NEIGHBOURHOOD2,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD2
,secured,19/00696/NEIGHBOURHOOD,19/00696/NEIGHBOURHOOD3,,2020-03-16,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD3
0,received,19/00768/CILADMIN,19/00768/CILADMIN1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-CILADMIN1
0,received,19/00768/IDP,19/00768/IDP1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-IDP1
0,received,19/00768/NEIGHBOURHOOD,19/00768/NEIGHBOURHOOD1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-NEIGHBOURHOOD1
0,received,19/01079/CILADMIN,19/01079/CILADMIN1,,2020-03-16,local-authority-eng:EPS,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-CILADMIN1
0,received,19/01079/IDP,19/01079/IDP1,,2020-03-16,local-authority-eng:EPS,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-IDP1
0,received,19/01079/NEIGHBOURHOOD,19/01079/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-NEIGHBOURHOOD1
0,received,19/01382/CILADMIN,19/01382/CILADMIN1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-CILADMIN1
0,received,19/01382/IDP,19/01382/IDP1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-IDP1
0,received,19/01382/NEIGHBOURHOOD,19/01382/NEIGHBOURHOOD1,,2020-03-16,local-authority-eng:EPS,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-NEIGHBOURHOOD1
0,received,19/01592/CILADMIN,19/01592/CILADMIN1,,2020-03-16,local-authority-eng:EPS,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/19-01592-CILADMIN1
0,received,19/01592/IDP,19/01592/IDP1,,2020-03-16,local-authority-eng:EPS,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/19-01592-IDP1
